#STEP_FILE ! FILE_SIZE ! MOD_TIME

FB0603.STEP ! 689115 ! 1639077912
SOIC254P1030X390-4N.STEP ! 2730564 ! 1569205626
XH-09A.STEP ! 801012 ! 1564587046
USB-A-SMD_USB-M-32.STEP ! 2220824 ! 1688106717
QFP50P1200X1200X160-64N.STEP ! 3233265 ! 1659668797
XH-07AW.STEP ! 474623 ! 1661852617
USB_A_DIP.stp ! 610727 ! 1536120015
XT30PW-M.STEP ! 1654771 ! 1709094305
SOT-223.STEP ! 227596 ! 1544704916
SOP65P780X200-28N.STEP ! 1021222 ! 1683009943
DR-9-F.STEP ! 2094118 ! 1625581328
HDR254M-1X6.stp ! 188816 ! 1401940866
SOT23-6.STEP ! 247406 ! 1596729330
TO-252.STEP ! 893011 ! 1568830688
507302B00000G--3DModel-STEP-56544.STEP ! 207014 ! 1568096060
WRB_S-3WR2.stp ! 51881 ! 1592040666
GX12-4W.stp ! 582093 ! 1685959568
A1257WR-S-6P.STEP ! 350780 ! 1659578101
AF-10_0-HC6_3.STEP ! 2593125 ! 1706494239
XHB-9A.STEP ! 771405 ! 1711013355
R0402.STEP ! 519421 ! 1705517252
YSFB1890.STEP ! 1112213 ! 1709028463
R1210.STEP ! 123396 ! 1708259838
XT30UPB-M.STEP ! 2203361 ! 1691004650
TO263-7-1.stp ! 83385 ! 1580385914
F2920.STEP ! 561071 ! 1614790276
LED0603.STEP ! 178558 ! 1628688738
DF-24DP-0_4-V51.stp ! 653968 ! 1157357766
RJ45-SMD_MT52DIWW6SB3010.STEP ! 34114 ! 1639035191
LED0805_RED.STEP ! 178841 ! 1567104914
A1257WV-S-4P.STEP ! 333428 ! 1666278594
MOV-14DxxxK.STEP ! 460707 ! 1614924821
XH-05AW.STEP ! 377407 ! 1567109170
SOIC127P1150X280-8N.STEP ! 304791 ! 1591397292
SOT-89.STEP ! 70226 ! 1659584641
TYPC-14PLC-H10_0.STEP ! 2279853 ! 1660093781
SOIC127P790X216-8N.STEP ! 183681 ! 1708257972
A1257WR-S-5P.STEP ! 325411 ! 1666204258
EL817.STEP ! 2730564 ! 1569205626
DO-214AC.STEP ! 711878 ! 1573642470
SOIC127P600X175-14N.STEP ! 524543 ! 1569162988
RELAY-TH_G5RL-1.stp ! 66517 ! 1491561343
LED5730.STEP ! 164924 ! 1688419744
QFP50P900X900X160-48N.STEP ! 5915973 ! 1563813784
DF-100DP-0_4-V51.STEP ! 6730135 ! 1706362520
HDR254M-1X2.stp ! 60606 ! 1701758249
TO-263-5.STEP ! 775006 ! 1573581472
TYPC-14PLC-H10_0.stp ! 1006734 ! 1660093775
DIP_Connect-Right Angle-5P-5.08MM.stp ! 520726 ! 1585059419
R-6.STEP ! 89161 ! 1600670828
LED0805_YELLOW.STEP ! 178851 ! 1567109984
SOP65P640X120-24N.STEP ! 1857566 ! 1639083928
YSPI0630A.STEP ! 1279816 ! 1688095290
F0805.STEP ! 49879 ! 1568775090
CAP-TH_BD10_0-H20-D5_08-P1_6-D1_0.STEP ! 2754427 ! 1680820812
XH-7AW.STEP ! 474555 ! 1567109352
OS103011MS8QP1.stp ! 488447 ! 1682985822
21-0140L_T1655-2-L.step ! 193184 ! 1568096060
FHDR254M-1X7.STEP ! 555685 ! 1706380760
GY-MINI-6P.STEP ! 172641 ! 1718853775
LQFP40P1200X1200X160-80L.STEP ! 346790 ! 1628700460
A1257WV-S-5P.STEP ! 367279 ! 1678718548
CAPAE660X540.STEP ! 936602 ! 1590753982
SSOP635P600X150-28N.STEP ! 440581 ! 1706362190
SOIC127P600X175-8N.STEP ! 312941 ! 1568741514
FXL0420.STEP ! 1163629 ! 1706380018
CAP-TH_BD6_3-H12-D2_5-P1_6-D1_0.STEP ! 341651 ! 1666249622
LED0805_WHITE.STEP ! 168678 ! 1567110322
TO-220-5-Heatsink.STEP ! 1161051 ! 1616395569
A1257WR-S-4P.STEP ! 294244 ! 1666203098
SOP65P490X110-8N.stp ! 135654 ! 1703024572
0239-AFB9-FSB04.STP ! 3223487 ! 1713856522
SOP65P640X120-17N.STEP ! 822663 ! 1639050756
FHDR254M-1X3.STEP ! 555685 ! 1706380760
XH-06A.STEP ! 570186 ! 1564369082
FXL0630.STEP ! 1810608 ! 1714130184
C0402.STEP ! 126238 ! 1705496970
XH-03AW.STEP ! 281553 ! 1567109164
ACM12V-2PL.STEP ! 1741125 ! 1709026511
HSCMANxxxxxxxx.STEP ! 997008 ! 1657950115
CONN-TH_GX12-4W.stp ! 582093 ! 1685959568
XT30-2_2-PB-M.STEP ! 1839469 ! 1691112932
LQH55DN_03_2220-5750.STEP ! 278237 ! 1666252011
C1210.STEP ! 52387 ! 1708956838
RGB-3528-4P.STEP ! 213013 ! 1659956466
F1808.STEP ! 307735 ! 1614924821
A1257WV-S-6P.STEP ! 401263 ! 1688315374
LED-TH-r1_5h5_3.STEP ! 121148 ! 1544803462
FNR4018S.STEP ! 1181900 ! 1696773428
A1257WR-S-4P.stp ! 396507 ! 1659866091
2353BW.STEP ! 170785 ! 1714016098
PSPMAA0503.STEP ! 1390985 ! 1708479655
FxxxxXT-xWR2.stp ! 427191 ! 1592021581
type-c_14ph10_0_1_00.stp ! 1006734 ! 1660093775
SMD-5032-2P.STEP ! 277767 ! 1591025890
SOIC127P600X175-16N.STEP ! 850236 ! 1563749940
